SACC code,Country of birth,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Territory
2405,Iceland,40,40,30,40,30,30,30,30,20,10,20,40,30,20,30,20,10,20,10,Australia
2406,Norway,960,950,770,660,590,610,590,550,510,500,480,400,400,400,460,330,260,200,180,Australia
2407,Sweden,710,780,890,940,910,950,1090,830,990,1070,1040,1080,1150,1050,1020,870,520,580,440,Australia
2408,Aland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
3101,Andorra,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,10,0,10,0,Australia
3102,Gibraltar,10,0,10,10,10,0,10,10,10,10,10,10,10,0,10,10,0,0,10,Australia
3103,Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
3104,Italy,1080,1090,1060,1290,1200,1380,1310,1260,1690,2480,2960,3260,3330,3320,3380,2640,1710,1970,1440,Australia
3105,Malta,170,120,140,120,160,150,140,110,170,150,140,130,110,120,110,110,70,80,110,Australia
3106,Portugal,250,250,250,250,260,220,210,180,190,230,250,280,320,320,310,300,180,290,260,Australia
3107,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
3108,Spain,460,420,430,590,460,460,500,470,600,890,910,1050,1210,1380,1520,1380,940,1200,810,Australia
3201,Albania,60,30,40,30,30,40,30,40,30,50,80,80,90,120,130,100,90,90,70,Australia
3202,Bosnia/Herzegov,370,380,360,370,380,310,340,300,350,400,340,310,320,290,280,230,260,470,460,Australia
3203,Bulgaria,80,120,100,130,90,110,110,100,60,90,110,120,130,110,130,120,100,160,110,Australia
3204,Croatia,490,590,500,520,450,440,350,380,370,420,360,410,360,330,310,230,260,520,510,Australia
3205,Cyprus,220,190,200,160,150,150,150,110,120,140,140,170,170,150,140,130,100,130,150,Australia
3206,North Macedonia,400,370,370,380,340,290,330,300,400,400,340,310,280,320,280,910,280,330,430,Australia
3207,Greece,910,880,800,840,690,570,550,420,540,720,870,770,780,890,850,750,640,840,1000,Australia
3208,Moldova,10,20,30,10,20,20,10,20,20,20,30,20,30,30,30,20,30,30,20,Australia
3211,Romania,220,240,280,320,280,310,270,190,230,280,270,310,270,270,270,240,220,350,260,Australia
3212,Slovenia,80,60,70,90,80,90,70,60,70,70,100,80,90,90,80,90,50,90,70,Australia
3214,Montenegro,10,10,10,20,20,20,10,10,10,10,10,20,20,20,20,10,10,20,40,Australia
3215,Serbia,80,80,140,170,190,180,180,170,200,170,190,240,190,240,200,170,260,420,320,Australia
3216,Kosovo,0,0,0,0,10,0,10,0,10,10,10,10,10,20,20,10,20,10,10,Australia
3301,Belarus,20,20,10,30,20,30,40,30,30,30,30,40,40,40,40,30,40,50,40,Australia
3302,Czechia,520,500,440,480,490,430,480,380,340,370,430,440,430,520,480,440,270,270,220,Australia
3303,Estonia,50,70,60,90,100,200,370,390,430,550,650,570,520,510,600,560,310,240,150,Australia
3304,Hungary,270,240,220,260,230,270,270,240,240,300,310,290,270,310,350,270,220,210,170,Australia
3305,Latvia,70,90,80,90,70,60,70,60,50,60,70,50,50,70,60,40,40,40,50,Australia
3306,Lithuania,60,70,50,50,80,30,50,70,70,90,90,120,110,130,180,170,130,90,90,Australia
3307,Poland,780,850,880,930,750,790,810,660,710,790,720,830,780,810,950,760,650,790,610,Australia
3308,Russia,390,430,370,610,460,420,440,400,440,520,550,550,530,560,630,530,580,530,490,Australia
3311,Slovakia,250,270,250,260,270,210,210,170,180,210,200,260,240,290,290,270,150,180,120,Australia
3312,Ukraine,220,280,260,260,270,220,270,180,190,210,210,280,270,230,300,240,210,220,250,Australia
4101,Algeria,50,50,50,50,50,60,60,50,50,40,50,60,50,50,50,50,40,60,50,Australia
4102,Egypt,260,280,280,320,320,360,340,300,300,370,420,410,400,400,370,370,400,460,460,Australia
4103,Libya,30,30,40,40,60,80,90,130,260,320,120,50,60,50,50,40,30,80,50,Australia
4104,Morocco,40,30,50,60,50,50,60,50,60,60,60,60,80,80,80,60,60,90,80,Australia
4105,Sudan,70,100,150,190,240,230,300,260,210,280,210,190,170,190,220,420,250,270,230,Australia
4106,Tunisia,10,20,10,20,10,30,20,20,30,20,20,20,20,20,20,20,10,20,20,Australia
4107,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
4108,Sp North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
4111,South Sudan,0,0,0,0,0,0,0,0,10,10,10,20,10,10,30,50,30,40,50,Australia
4201,Bahrain,50,70,90,100,70,120,80,60,70,70,60,50,50,60,60,50,40,30,40,Australia
4202,Gaza Str/W Bank,0,0,10,0,0,0,0,10,10,10,10,0,0,0,0,0,0,10,0,Australia
4203,Iran,450,560,580,680,630,630,640,610,730,1870,1250,1160,1130,930,780,830,730,1140,980,Australia
4204,Iraq,340,400,310,400,520,570,540,620,760,790,530,570,600,750,730,570,590,720,640,Australia
4205,Israel,370,390,400,540,530,460,530,430,440,470,440,430,410,540,580,380,370,580,360,Australia
4206,Jordan,190,220,190,180,180,200,170,200,190,250,230,220,220,210,210,190,140,180,240,Australia
4207,Kuwait,130,180,170,170,150,160,160,180,240,300,240,300,270,430,360,340,180,160,160,Australia
4208,Lebanon,860,810,680,870,1080,1040,950,710,680,700,700,760,830,700,640,490,440,600,870,Australia
4211,Oman,110,160,180,170,190,180,180,180,180,190,210,180,140,230,190,490,180,110,70,Australia
4212,Qatar,40,60,40,50,50,40,50,30,40,40,50,40,50,30,50,40,50,50,40,Australia
4213,Saudi Arabia,150,270,460,620,1120,1670,2830,3070,3050,2710,2670,2970,2630,2490,2220,2550,2460,1700,1250,Australia
4214,Syria,130,140,120,150,140,140,120,80,70,110,90,100,100,120,140,110,80,170,200,Australia
4215,Turkey,640,710,720,790,700,780,900,740,980,970,940,860,840,840,850,800,680,920,970,Australia
4216,Unit Arab Emir,150,170,230,300,330,440,460,390,360,420,370,310,340,310,340,430,220,310,290,Australia
4217,Yemen,20,10,10,10,10,20,10,10,10,10,10,10,10,20,10,20,10,20,20,Australia
5101,Myanmar,150,140,130,140,150,190,230,230,290,450,410,360,340,380,420,450,380,230,260,Australia
5102,Cambodia,280,210,280,330,270,250,290,290,360,350,370,440,420,510,550,550,690,550,520,Australia
5103,Laos,150,150,140,150,140,180,190,170,180,170,190,190,180,190,170,200,190,150,110,Australia
5104,Thailand,3070,2830,2660,2860,2960,3510,3840,3530,3280,3120,3150,3130,3420,3850,4190,4370,2790,1890,2100,Australia
5105,Vietnam,1750,1980,2020,2230,2230,2830,3460,3580,3220,3510,3400,3610,3800,4200,4470,5710,4120,4420,3740,Australia
5201,Brunei,190,180,170,230,210,230,230,220,180,190,140,150,150,140,190,160,100,60,80,Australia
5202,Indonesia,5930,6350,5430,4690,4580,4990,4980,4750,5210,5620,4860,4500,4470,4450,4870,5120,4030,3390,2970,Australia
5203,Malaysia,5140,5320,5400,5300,6100,6860,7310,6900,7500,8050,7220,7160,7960,9460,10790,9030,6430,4540,4530,Australia
5204,Philippines,2580,3490,3790,3210,3450,3490,3620,2370,2800,3060,3350,3430,3530,3750,4380,4110,2830,4490,4140,Australia
5205,Singapore,3540,4150,3920,4750,3980,4120,4080,4180,4530,4220,4390,4930,3700,4340,4300,5040,2340,2060,2950,Australia
5206,Timor-Leste,110,110,170,130,130,140,110,100,150,110,140,150,100,110,110,90,140,170,390,Australia
6101,China,9780,10400,11660,12860,14950,20680,23520,24640,23980,22330,23220,24710,27740,37710,51640,78740,59540,29580,24720,Australia
6102,Hong Kong,4300,4700,4470,4210,3760,4160,4530,4400,4300,4520,4520,4270,3850,3750,3710,3070,2080,1610,1930,Australia
6103,Macau,110,100,120,100,110,170,200,240,230,220,200,170,140,160,150,250,170,90,80,Australia
6104,Mongolia,70,80,90,60,70,120,140,170,210,220,240,260,270,330,510,570,840,420,220,Australia
6105,Taiwan,2640,2530,2550,2490,2660,3630,3940,4160,5520,8020,10040,8630,8240,7830,8470,9160,4130,2130,2010,Australia
6201,Japan,5400,5890,5720,6730,5610,5800,5000,4590,4900,4820,5070,5350,5450,6350,6270,6380,3060,2690,2700,Australia
6202,"Korea, North",100,110,120,150,100,110,120,110,80,80,50,70,80,100,100,110,60,70,50,Australia
6203,"Korea, South",4610,5180,6050,7430,8790,11590,11740,10430,10040,10480,9400,9030,8890,9420,10190,10910,5850,4410,3500,Australia
7101,Bangladesh,640,630,580,590,690,710,860,690,700,940,850,950,940,1040,1160,1240,1370,1410,950,Australia
7102,Bhutan,40,60,50,90,90,120,130,200,230,250,200,330,310,180,280,310,140,180,110,Australia
7103,India,4730,5940,6590,7030,8390,12550,14530,11640,11610,12180,11410,11160,10580,11580,13160,19020,21830,21300,14020,Australia
7104,Maldives,50,60,60,50,80,70,80,70,60,80,70,90,90,60,70,40,50,50,20,Australia
7105,Nepal,220,240,170,150,350,630,1020,720,800,830,870,820,920,1070,1410,2570,2630,2740,1840,Australia
7106,Pakistan,690,710,650,800,790,860,1030,960,1070,1380,1340,1500,1740,1820,1920,3300,2940,2410,1700,Australia
7107,Sri Lanka,1300,1190,1180,1150,1280,1560,1680,1440,1500,1910,1790,2040,1820,2020,2080,2410,2410,2230,1590,Australia
7201,Afghanistan,200,200,120,130,170,170,270,180,200,360,210,190,220,200,270,270,210,260,520,Australia
7202,Armenia,10,10,20,10,20,10,20,20,30,20,20,20,30,30,30,30,10,30,20,Australia
7203,Azerbaijan,0,10,10,10,10,10,10,10,20,20,30,30,30,20,30,30,30,20,20,Australia
7204,Georgia,20,10,10,30,20,10,20,10,10,20,20,10,30,20,20,20,20,30,20,Australia
7205,Kazakhstan,20,30,30,40,50,40,50,60,80,80,90,100,100,100,90,100,90,80,80,Australia
7206,Kyrgyzstan,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,30,20,20,Australia
7207,Tajikistan,0,0,0,10,10,0,10,0,10,0,10,10,10,10,0,10,10,0,10,Australia
7208,Turkmenistan,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,10,0,0,Australia
7211,Uzbekistan,20,20,20,20,20,20,20,20,30,30,40,50,50,60,50,60,80,80,50,Australia
8101,Bermuda,10,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,Australia
8102,Canada,2100,2290,2430,2970,3470,3280,3310,3340,3750,3440,3300,3440,3510,3660,3480,3070,1800,2410,2470,Australia
8103,St Pierre/Mique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia
8104,USA,7380,7730,6980,10460,11350,9340,8300,8450,10110,9560,9170,9920,9130,10020,10040,8500,4660,6770,6850,Australia
8201,Argentina,220,250,270,260,330,260,240,250,290,290,360,480,520,610,750,840,650,1260,590,Australia
8202,Bolivia,30,30,10,20,30,30,20,20,20,20,40,30,20,30,30,20,30,20,20,Australia
8203,Brazil,680,670,860,1160,1630,2050,2090,1800,1800,1890,3450,2180,2670,3000,3680,4380,2250,2140,1620,Australia
8204,Chile,410,400,340,480,510,600,620,650,750,800,830,870,920,1080,1240,1470,610,850,590,Australia
