SACC code(d),Country of birth(d),2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23(e)
1101,Australia,23210,22900,23390,24420,20900,20740,21700,20990,21240,22380,23080,23320,22520,22820,21250,14600,10040,18230,22690
1102,Norfolk Island(f),10,0,0,10,0,10,10,0,0,0,0,10,0,0,0,0,0,0,0
1199,"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,New Zealand,4990,4960,4480,4240,4100,3940,3860,3460,3830,4420,4440,4600,4390,4160,4010,3700,3270,3240,3190
1301,New Caledonia,70,60,30,50,50,50,70,40,30,40,20,30,40,50,50,30,20,30,40
1302,PNG,170,190,150,170,160,140,120,120,130,140,120,110,130,120,130,120,70,70,90
1303,Solomon Islands,30,20,40,30,30,30,30,40,40,20,20,30,20,20,20,10,20,10,140
1304,Vanuatu,50,40,20,30,30,30,30,10,20,20,30,20,20,20,20,30,70,70,540
1401,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1402,Kiribati,30,20,20,10,10,10,10,10,10,0,10,20,10,10,10,10,0,20,50
1403,Marshall Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,"Micronesia, F S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,Nauru,0,0,10,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,10
1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1407,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1501,Cook Islands,90,70,60,90,50,50,50,60,50,50,70,80,80,70,80,80,40,60,70
1502,Fiji,710,610,450,410,370,340,400,350,330,350,430,420,400,470,410,360,230,380,380
1503,French Poly,20,20,10,10,30,10,10,10,20,20,20,10,20,10,20,10,10,10,10
1504,Niue,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,10,10,10,10
1505,Samoa,280,270,270,220,180,220,210,190,220,200,240,270,270,300,320,310,210,240,500
1506,Samoa American,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10,0
1507,Tokelau,10,10,20,20,20,20,20,20,20,30,20,20,20,20,10,20,10,10,20
1508,Tonga,180,160,130,120,110,110,140,130,100,120,140,160,170,180,170,140,140,140,420
1511,Tuvalu,10,10,10,0,10,10,0,0,0,0,0,10,0,0,0,0,10,0,0
1512,Wallis/Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,"Polynesia, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1602,Argentinian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1603,Australian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1604,British A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1605,Chilean A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1606,Queen Maud Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1607,Ross Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,"UK, CIs & IOM",6730,6740,6100,6730,6430,6850,6770,6250,6730,7430,7660,7560,7670,7670,7880,6390,3810,5780,4360
2201,Ireland,1480,1470,1420,1380,1220,1330,1240,1070,1480,2170,2150,1880,1470,1420,1600,1390,840,1590,920
2301,Austria,140,140,120,140,140,140,160,110,110,100,90,90,100,100,80,80,60,70,70
2302,Belgium,80,80,90,110,150,130,130,110,110,110,90,140,150,180,230,180,130,140,90
